id,lad,population,area_km2,pop_density_km2,lte_4G
CA102,E07000030,1926.0000000000002,220.04074548447323,321.5031902256688,0
CA174,E07000030,2607.0,314.4718303005013,304.5028728521478,0
CA110,E07000030,2382.0,294.85030360519903,296.73740158263706,0
CA93,E07000030,1185.0,179.6952130738287,242.22220533506984,0
CA49,E07000030,521.0,99.4486718823877,192.42914370760468,0
LA94,E07000031,2626.0,1.0481059406227238,45216.14691561855,1
LA232,E07000031,2135.0,3.2551336965393416,11836.76595722028,1
LA97,E07000031,4918.0,8.340114905331216,10641.932558755125,1
LA95,E07000031,4381.0,7.662526496663663,10318.23170122505,1
LA96,E07000031,3520.0000000000005,14.828535971690796,4283.989527568527,1
LA129,E07000031,3227.0,16.054175932102204,3627.562966167625,1
LA50,E07000031,2132.0,14.546570523698417,2645.0299600279577,1
LA120,E07000031,2930.0,36.66641775249485,1442.1258122231454,1
LA117,E07000031,3323.0,44.8031262986703,1338.523603233295,1
LA233,E07000031,1609.0,22.34398729633865,1299.569111585629,1
LA127,E07000031,2684.0,39.788686092785056,1217.382138633989,1
LA77,E07000031,2409.0,42.654813021146225,1019.2313408240427,1
LA231,E07000031,1540.0,46.639300776168746,595.8990624363255,1
LA220,E07000031,1569.0,52.17796028122407,542.6750536042841,1
LA116,E07000031,2216.0,78.87569619992706,507.02638791333413,1
LA177,E07000031,595.0,29.961716093842625,358.38868796969456,1
LA80,E07000031,1358.0,79.61443907430278,307.83070885704603,1
LA88,E07000031,1420.0,83.77933292334255,305.88308272195496,1
LA229,E07000031,2008.0000000000002,119.42916803587607,303.4291591564257,1
LA62,E07000031,2274.0,177.27842432914974,231.49338713065276,0
LA128,E07000031,1467.0,121.03195014061876,218.74296519989915,1
LA218,E07000031,737.0,69.11064364544733,192.45383172418218,0
LA89,E07000031,1697.0,206.62358195757952,148.21971311371595,0
LA105,E07000031,1927.0,241.48229054479071,144.0125830528591,0
LA206,E07000031,709.0,134.70400598195704,94.9882170172368,0
DE561,E07000032,6571.0,5.695926982124425,20017.201582568792,1
DE551,E07000032,3494.0,4.8130838223331915,12596.090848651622,1
DE757,E07000032,8636.0,13.060126101183585,11473.64932701974,1
NG164,E07000032,2709.0,5.039692943141437,9326.984117059259,1
DE224,E07000032,4300.0,8.051643345380361,9266.59612703056,1
DE59,E07000032,2253.0,4.683564697562581,8346.818630540762,1
DE560,E07000032,5416.0,11.311619251212486,8307.879450432252,1
DE53,E07000032,6436.0,13.565238465176943,8232.370573345173,1
DE554,E07000032,3804.0,8.886717745178984,7427.376351586284,1
DE557,E07000032,4870.0,19.190693959631506,4403.262639642315,1
DE564,E07000032,2382.0,13.626907272665813,3033.058349863474,1
