,place_name,cordinates,Longitude,Latitude
1279,ZyXEL1DAF0B_5G,"0.13001205,52.21291351",0.13001205,52.21291351
1280,SKY04CC0,"0.12279421,52.21688843",0.12279421,52.21688843
1281,SKY04CC0,"0.12374035,52.21696091",0.12374035,52.21696091
1282,SKY26FB6,"0.12480141,52.21578979",0.12480141,52.21578979
1283,SKY26FB6,"0.12485245,52.21593475",0.12485245,52.21593475
1284,SKY6F42E,"0.12539592,52.21481705",0.12539592,52.21481705
1285,SKYEE509,"0.12690392,52.21598816",0.12690392,52.21598816
1286,SKYA9358,"0.12619847,52.2160759",0.12619847,52.2160759
1287,BTHub6-2MZX,"0.13022596,52.21384811",0.13022596,52.21384811
1288,BTHub6-2MZX-5,"0.13020992,52.21367264",0.13020992,52.21367264
1289,Primrose_House_2.4,"0.12249481,52.21646881",0.12249481,52.21646881
1290,Primrose_House-5,"0.12261183,52.21659851",0.12261183,52.21659851
1291,BTHub6-85ZS,"0.12249793,52.21656418",0.12249793,52.21656418
1292,BTHub6-85ZS,"0.12257569,52.2166214",0.12257569,52.2166214
1293,BTHub6-2CXR,"0.12876859,52.21358109",0.12876859,52.21358109
1294,Phil and Clare's House,"0.12875666,52.21337891",0.12875666,52.21337891
1295,TALKTALK-FF42DC,"0.12685496,52.21472549",0.12685496,52.21472549
1296,(no SSID),"0.12626985,52.21489334",0.12626985,52.21489334
1297,Resident,"0.12495481,52.21631622",0.12495481,52.21631622
1298,Resident,"0.12619847,52.2160759",0.12619847,52.2160759
1299,Resident,"0.12483673,52.21630096",0.12483673,52.21630096
1300,Resident,"0.12619847,52.2160759",0.12619847,52.2160759
1301,Resident,"0.12586461,52.21604156",0.12586461,52.21604156
1302,Resident,"0.12594061,52.21604919",0.12594061,52.21604919
1303,Resident,"0.12619847,52.2160759",0.12619847,52.2160759
1304,Resident,"0.12619847,52.2160759",0.12619847,52.2160759
1305,Resident,"0.12487736,52.21650696",0.12487736,52.21650696
1306,BTWifi-with-FON,"0.13020992,52.21367264",0.13020992,52.21367264
1307,BTWifi-X,"0.13020992,52.21367264",0.13020992,52.21367264
1308,BTWifi-with-FON,"0.13017257,52.21357346",0.13017257,52.21357346
1309,BTWifi-with-FON,"0.12257569,52.2166214",0.12257569,52.2166214
1310,BTWifi-X,"0.12257569,52.2166214",0.12257569,52.2166214
1311,BTWifi-with-FON,"0.1225489,52.21662903",0.1225489,52.21662903
1312,BTWifi-with-FON,"0.12252806,52.21663666",0.12252806,52.21663666
1313,BTWifi-X,"0.12252806,52.21663666",0.12252806,52.21663666
1314,BTWifi-with-FON,"0.12304347,52.21654892",0.12304347,52.21654892
1315,BTWifi-with-FON,"0.12305369,52.21677017",0.12305369,52.21677017
1316,BTWifi-with-FON,"0.12876859,52.21358109",0.12876859,52.21358109
1317,BTWifi-X,"0.12876859,52.21358109",0.12876859,52.21358109
1318,BTWifi-with-FON,"0.12878507,52.21374893",0.12878507,52.21374893
1319,BTWiFi-with-FON,"0.13005266,52.21281815",0.13005266,52.21281815
1320,BTWifi-with-FON,"0.12279421,52.21688843",0.12279421,52.21688843
1321,BTWifi-X,"0.12279421,52.21688843",0.12279421,52.21688843
1322,HP-Print-F4-ENVY 4500 series,"0.12874156,52.21440506",0.12874156,52.21440506
1323,flosky5,"0.13174061,52.21445084",0.13174061,52.21445084
1324,flosky5,"0.13169709,52.21450424",0.13169709,52.21450424
