msoa,urban_rural,total_prems,total_prems_density_km2,number_of_aps,number_of_aps_density_km2,source,buffer_size,total_prems_density_km2_decile
E02003785,Rural,6826.0,148.27470060603423,5685.0,123.48984367789402,Predictive Model,200,3
E02003785,Rural,6826.0,148.27470060603423,3983.0,86.51891774301704,Predictive Model,100,3
E02003785,Rural,75.93085106382979,910.2362066473377,36.473404255319146,437.23220097939014,Wardriving,200,7
E02003785,Rural,132.44520547945206,858.643026110674,38.52739726027397,249.77333722255477,Wardriving,300,7
E02003785,Rural,17.476190476190474,557.1790306722498,43.67857142857143,1392.5680269322102,Wardriving,100,5
E02003785,Rural,6826.0,148.27470060603423,4408.0,95.7507882026661,Predictive Model,300,3
E02003786,Rural,5328.0,336.94965649391634,2853.0,180.42743430501937,Predictive Model,200,4
E02003786,Rural,5328.0,336.94965649391634,3344.0,211.47891353522076,Predictive Model,300,4
E02003786,Rural,20.031518624641834,638.648459764557,53.27507163323782,1698.5253629527115,Wardriving,100,5
E02003786,Rural,170.59188275084554,1254.355666986742,40.970687711386695,301.2559184083878,Wardriving,300,8
E02003786,Rural,90.38349514563107,1249.7142912022575,41.37540453074433,572.089342894207,Wardriving,200,8
E02003786,Rural,5328.0,336.94965649391634,3344.0,211.47891353522076,Predictive Model,100,4
E02003787,Rural,7258.0,89.5022871762076,5376.0,66.29433671249546,Predictive Model,200,2
E02003787,Rural,29.884057971014492,285.83066444937634,18.97584541062802,181.4973892591578,Wardriving,200,5
E02003787,Rural,41.38858695652174,227.02078836856137,21.182065217391305,116.18587389750743,Wardriving,300,4
E02003787,Rural,7258.0,89.5022871762076,3995.0,49.26448570803932,Predictive Model,100,2
E02003787,Rural,6.456521739130435,205.84798094437141,23.52173913043478,749.9242942148481,Wardriving,100,3
E02003787,Rural,7258.0,89.5022871762076,5376.0,66.29433671249546,Predictive Model,300,2
E02003788,Rural,6245.0,166.26192506848813,2811.0,74.83783368575182,Predictive Model,100,3
E02003788,Rural,6245.0,166.26192506848813,2811.0,74.83783368575182,Predictive Model,300,3
E02003788,Rural,105.24421052631578,626.7487234489162,43.80842105263158,260.88724342878714,Wardriving,300,6
E02003788,Rural,6245.0,166.26192506848813,3086.0,82.15921549421206,Predictive Model,200,3
E02003788,Rural,11.565656565656566,368.73833133829834,47.02020202020202,1499.106491161379,Wardriving,100,4
E02003788,Rural,65.79094076655052,707.402234269153,40.250871080139376,432.7884021966559,Wardriving,200,6
E02003790,Rural,108.08653846153847,1190.6563875142192,51.13461538461539,563.2871336002684,Wardriving,200,7
E02003790,Rural,8720.0,71.65920652946726,4992.0,41.023252178337216,Predictive Model,200,1
E02003790,Rural,8720.0,71.65920652946726,4442.0,36.503462775675864,Predictive Model,100,1
E02003790,Rural,178.13163064833006,1080.2411344075524,49.09233791748527,297.709972168833,Wardriving,300,7
E02003790,Rural,8720.0,71.65920652946726,4442.0,36.503462775675864,Predictive Model,300,1
E02003790,Rural,19.295652173913044,615.1874339603477,85.87826086956522,2737.986073813607,Wardriving,100,5
E02003791,Rural,8266.0,108.990181025377,6037.0,79.60001486210996,Predictive Model,300,2
E02003791,Rural,8266.0,108.990181025377,6037.0,79.60001486210996,Predictive Model,100,2
E02003791,Rural,102.28193832599119,501.6878542389362,17.874449339207047,87.67329091973829,Wardriving,300,6
E02003791,Rural,8266.0,108.990181025377,4958.0,65.37301204014265,Predictive Model,200,2
E02003791,Rural,68.31718061674009,544.5251430247239,14.894273127753303,118.71546998752846,Wardriving,200,6
E02003792,Rural,8534.0,133.1109440256583,5029.0,78.44093479084084,Predictive Model,200,3
E02003792,Rural,8534.0,133.1109440256583,4475.0,69.79979781050164,Predictive Model,300,3
E02003792,Rural,15.272727272727273,147.961493083526,4.545454545454546,44.036158655811306,Wardriving,200,4
